product,period,scenario,optimal_overage
p1,1,scenario_6,6.0
p2,1,scenario_6,20.0
p3,1,scenario_6,15.22449
p1,2,scenario_6,0.0
p2,2,scenario_6,0.0
p3,2,scenario_6,7.5612245
p1,3,scenario_6,7.0
p2,3,scenario_6,26.0
p3,3,scenario_6,94.642857
p1,4,scenario_6,13.0
p2,4,scenario_6,55.0
p3,4,scenario_6,15.581633
p1,5,scenario_6,5.9222222
p2,5,scenario_6,0.0
p3,5,scenario_6,18.0
p1,6,scenario_6,0.0
p2,6,scenario_6,0.0
p3,6,scenario_6,0.0
p1,7,scenario_6,0.0
p2,7,scenario_6,0.0
p3,7,scenario_6,0.0
p1,8,scenario_6,0.0
p2,8,scenario_6,0.0
p3,8,scenario_6,15.44898
p1,9,scenario_6,0.0
p2,9,scenario_6,0.0
p3,9,scenario_6,0.0
p1,10,scenario_6,1.0
p2,10,scenario_6,7.0
p3,10,scenario_6,44.642857
p1,11,scenario_6,25.833333
p2,11,scenario_6,0.0
p3,11,scenario_6,-5.9842795e-12
p1,12,scenario_6,48.0
p2,12,scenario_6,1.0
p3,12,scenario_6,64.959184
p1,1,scenario_7,6.0
p2,1,scenario_7,20.0
p3,1,scenario_7,15.22449
p1,2,scenario_7,0.0
p2,2,scenario_7,0.0
p3,2,scenario_7,7.5612245
p1,3,scenario_7,7.0
p2,3,scenario_7,26.0
p3,3,scenario_7,94.642857
p1,4,scenario_7,13.0
p2,4,scenario_7,55.0
p3,4,scenario_7,15.581633
p1,5,scenario_7,5.9222222
p2,5,scenario_7,0.0
p3,5,scenario_7,18.0
p1,6,scenario_7,0.0
p2,6,scenario_7,0.0
p3,6,scenario_7,0.0
p1,7,scenario_7,0.0
p2,7,scenario_7,0.0
p3,7,scenario_7,0.0
p1,8,scenario_7,0.0
p2,8,scenario_7,0.0
p3,8,scenario_7,15.44898
p1,9,scenario_7,0.0
p2,9,scenario_7,0.0
p3,9,scenario_7,0.0
p1,10,scenario_7,1.0
p2,10,scenario_7,7.0
p3,10,scenario_7,44.642857
p1,11,scenario_7,25.833333
p2,11,scenario_7,0.0
p3,11,scenario_7,-7.9790393e-12
p1,12,scenario_7,48.0
p2,12,scenario_7,1.0
p3,12,scenario_7,64.959184
p1,1,scenario_8,6.0
p2,1,scenario_8,20.0
p3,1,scenario_8,15.22449
p1,2,scenario_8,0.0
p2,2,scenario_8,0.0
p3,2,scenario_8,7.5612245
p1,3,scenario_8,7.0
p2,3,scenario_8,26.0
p3,3,scenario_8,94.642857
p1,4,scenario_8,13.0
p2,4,scenario_8,55.0
p3,4,scenario_8,15.581633
p1,5,scenario_8,5.9222222
p2,5,scenario_8,0.0
p3,5,scenario_8,18.0
p1,6,scenario_8,0.0
p2,6,scenario_8,0.0
p3,6,scenario_8,0.0
p1,7,scenario_8,0.0
p2,7,scenario_8,0.0
p3,7,scenario_8,0.0
p1,8,scenario_8,0.0
p2,8,scenario_8,0.0
p3,8,scenario_8,15.44898
p1,9,scenario_8,0.0
p2,9,scenario_8,0.0
p3,9,scenario_8,0.0
p1,10,scenario_8,1.0
p2,10,scenario_8,7.0
p3,10,scenario_8,44.642857
p1,11,scenario_8,25.833333
p2,11,scenario_8,0.0
p3,11,scenario_8,0.0
p1,12,scenario_8,48.0
p2,12,scenario_8,1.0
p3,12,scenario_8,64.959184
p1,1,scenario_9,6.0
p2,1,scenario_9,20.0
p3,1,scenario_9,15.22449
p1,2,scenario_9,0.0
p2,2,scenario_9,0.0
p3,2,scenario_9,7.5612245
p1,3,scenario_9,7.0
p2,3,scenario_9,26.0
p3,3,scenario_9,94.642857
p1,4,scenario_9,13.0
p2,4,scenario_9,55.0
p3,4,scenario_9,15.581633
p1,5,scenario_9,5.9222222
p2,5,scenario_9,0.0
p3,5,scenario_9,18.0
p1,6,scenario_9,0.0
p2,6,scenario_9,0.0
p3,6,scenario_9,0.0
p1,7,scenario_9,0.0
p2,7,scenario_9,0.0
p3,7,scenario_9,0.0
p1,8,scenario_9,0.0
p2,8,scenario_9,0.0
p3,8,scenario_9,15.44898
p1,9,scenario_9,0.0
p2,9,scenario_9,0.0
p3,9,scenario_9,0.0
p1,10,scenario_9,1.0
p2,10,scenario_9,7.0
p3,10,scenario_9,44.642857
p1,11,scenario_9,25.833333
p2,11,scenario_9,0.0
p3,11,scenario_9,0.0
p1,12,scenario_9,48.0
p2,12,scenario_9,1.0
p3,12,scenario_9,64.959184
p1,1,scenario_10,6.0
p2,1,scenario_10,20.0
p3,1,scenario_10,15.22449
p1,2,scenario_10,0.0
p2,2,scenario_10,0.0
p3,2,scenario_10,7.5612245
p1,3,scenario_10,7.0
